model_id,kegg.module,module_name
MAR04387,M01018,"GDP-D-Rha biosynthesis, GDP-Man => GDP-D-Rha"
MAR04387,M01019,"GDP-6-deoxy-Tal biosynthesis, GDP-Man => GDP-6-deoxy-Tal"
MAR04387,M01020,"GDP-D-Rha4NAc biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NAc"
MAR04387,M01034,"GDP-D-Rha4NFormyl biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NFormyl"
MAR04399,M01016,"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc"
MAR04400,M01001,"GDP-L-Fuc biosynthesis, L-Fuc => GDP-L-Fuc"
MAR04401,M01001,"GDP-L-Fuc biosynthesis, L-Fuc => GDP-L-Fuc"
MAR04402,,
MAR04403,M01015,"GDP-Man biosynthesis, Man => GDP-Man"
MAR04490,,
MAR04706,M01016,"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc"
MAR08768,M00014,Glucuronate pathway (uronate pathway)
MAR04590,,
MAR04591,,
MAR04592,M00014,Glucuronate pathway (uronate pathway)
MAR04593,,
MAR04594,M00014,Glucuronate pathway (uronate pathway)
MAR04595,,
MAR08341,,
MAR08342,M00014,Glucuronate pathway (uronate pathway)
MAR08352,M00014,Glucuronate pathway (uronate pathway)
MAR08353,,
MAR08726,,
MAR08729,M00014,Glucuronate pathway (uronate pathway)
MAR08729,M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"
MAR06537,,
MAR01568,,
MAR03853,,
MAR03854,,
MAR03855,,
MAR03857,,
MAR03859,M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type"
MAR04087,M00169,"CAM (Crassulacean acid metabolism), light"
MAR04087,M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type"
MAR04089,M00169,"CAM (Crassulacean acid metabolism), light"
MAR04089,M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type"
MAR04091,,
MAR04093,,
MAR04095,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04101,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P"
MAR04103,M00173,Reductive citrate cycle (Arnon-Buchanan cycle)
MAR04103,M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
MAR04143,,
MAR04193,,
MAR08497,,
MAR08502,,
MAR08504,,
MAR08511,,
MAR08512,,
MAR08514,,
MAR08516,,
MAR08517,,
MAR04280,,
MAR00153,,
MAR03212,,
MAR03797,,
MAR03800,,
MAR04105,M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
MAR04105,M00991,"Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acetyl-CoA"
MAR04105,M00992,"Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acrylate => acetyl-CoA"
MAR04106,,
MAR04282,,
MAR04331,,
MAR04459,M00088,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
MAR04460,M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
MAR04464,M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
MAR04497,M00982,Methylcitrate cycle
MAR04741,,
MAR08078,,
MAR09803,,
MAR09804,,
MAR00718,M00087,beta-Oxidation
MAR00718,M00088,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
MAR00718,M00095,"C5 isoprenoid biosynthesis, mevalonate pathway"
MAR00718,M00373,Ethylmalonyl pathway
MAR00718,M00374,Dicarboxylate-hydroxybutyrate cycle
MAR00718,M00375,Hydroxypropionate-hydroxybutylate cycle
MAR00718,M00849,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea"
MAR00718,M00957,"Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA"
MAR00719,,
MAR01434,M00087,beta-Oxidation
MAR01436,M00088,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
MAR03163,,
MAR04461,M00373,Ethylmalonyl pathway
MAR05351,M00005,"PRPP biosynthesis, ribose-5P => PRPP"
MAR07709,,
MAR04052,M00004,Pentose phosphate pathway (Pentose phosphate cycle)
