module_id,reactions
M00083,"R04355  C03939 + C01209 -> C05744 R04533  C05744 -> C04618 R04428  C04618 -> C04246 R04429,R04430  C04246 -> C05745  R04952  C05745 + C01209 -> C05746 R04953  C05746 -> C05747 R04954  C05747 -> C05748 R04955,R04956  C05748 -> C05749  R04957  C05749 + C01209 -> C05750 R04536  C05750 -> C04620 R04537  C04620 -> C05751 R04958,R04959  C05751 -> C05752  R04960  C05752 + C01209 -> C05753 R04534  C05753 -> C04619 R04535  C04619 -> C05754 R04961,R04962  C05754 -> C05755  R04963  C05755 + C01209 -> C05756 R04964  C05756 -> C05757 R04965  C05757 -> C05758 R04724,R04725  C05758 -> C05223  R04726  C05223 + C01209 -> C05759 R04566  C05759 -> C04688 R04568  C04688 -> C05760 R04966,R04967  C05760 -> C05761  R04968  C05761 + C01209 -> C05762 R04543  C05762 -> C04633 R04544  C04633 -> C05763 R04969,R04970  C05763 -> C05764"
M00741,R01859  C00100 -> C00683 R02765  C00683 -> C01213 R00833  C01213 -> C00091
M00034,"R00177  C00073 -> C00019 R00178  C00019 -> C01137 R01920  C01137 -> C00170 R01401  C00170 -> C03089 R04143  C03089 -> C04188 R01402  C00170 -> C04188 R04420  C04188 -> C04582 R07392  C04582 -> C15650 R07393  C15650 -> C15651 R07394  C15651 -> C15606 R07395  C15650 -> C15606 R07364  C15606 -> C01180 R07396,R12507  C01180 -> C00073"
M00035,"R00177  C00073 -> C00019 R00367,R04858  C00019 -> C00021 R00192  C00021 -> C00155 R01290  C00065 + C00155 -> C02291"
M00338,R01290  C00065 + C00155 -> C02291 R01001  C02291 -> C00097
M00038,R00678  C00078 -> C02700 R01959  C02700 -> C00328 R01960  C00328 -> C03227 R02668  C03227 -> C00632 R02665  C00632 -> C04409 R04323  C04409 -> C03824 R03889  C03824 -> C02220
M00912,"R00678  C00078 -> C02700 R01959  C02700 -> C00328 R01960  C00328 -> C03227 R02668  C03227 -> C00632 R02665  C00632 -> C04409 R04293  C04409 -> C03722 R03348  C03722 -> C01185 R03005  C01185 -> C00857 R00189,R00257  C00857 -> C00003"
M00970,"R01253  C00148 -> C03912 R03314  C03912 -> C01165 R00245,R13148  C01165 -> C00025"
M00972,"R00667  C00077 -> C01165 R03314  C01165 -> C03912 R01248,R01251  C03912 -> C00148 R01253  C00148 -> C03912"
M00015,R00239  C00025 -> C03287 R03313  C03287 -> C01165 R03314  C01165 -> C03912 R01251  C03912 -> C00148
M00134,"R00551,R13308  C00062 -> C00077 R00670  C00077 -> C00134"
M00135,"R01154,R01156  C00134 -> C02714 R04025  C02714 -> C05936 R05050  C05936 -> C02946 R01987  C02946 -> C00334"
M00027,"R00261  C00025 -> C00334 R01648,R10178  C00334 -> C00232 R00713,R00714  C00232 -> C00042"
M00020,R01513  C00197 -> C03232 R04173  C03232 -> C01005 R00582  C01005 -> C00065
M00141,"R00945  C00101 -> C00143 R01220,R01218  C00143 -> C00445 R01655  C00445 -> C00234 R00943  C00234 -> C00101"
M00621,R03425  C00037 + C02051 -> C01242 + C00011 R04125  C01242 + C00101 -> C02972 + C00143 + C00014 R03815  C02972 -> C02051  R01221  C00037 + C00101 -> C00014 + C00143
M00029,R00149  C00014 -> C00169 R01398  C00169 + C00077 -> C00327 R01954  C00327 + C00049 -> C03406 R01086  C03406 -> C00062 + C00122 R00551  C00062 -> C00077 + C00086
M00844,R01398  C00169 + C00077 -> C00327 R01954  C00327 + C00049 -> C03406 R01086  C03406 -> C00062 + C00122
M00118,R00894  C00025 -> C00669 R00497  C00669 -> C00051
M00044,"R00734,R00729  C00082 -> C01179 R02521  C01179 -> C00544 R02519  C00544 -> C01036 R03181  C01036 -> C01061 R01364  C01061 -> C00164 + C00122"
M00045,"R01168  C00135 -> C00785 R02914  C00785 -> C03680 R02288  C03680 -> C00439 R02285,R02287  C00439 -> C00025 R02286  C00439 -> C01045 R00525  C01045 -> C00025"
M00047,R00565  C00062 -> C00581 R01883  C00581 -> C00300 R01881  C00300 -> C02305 R07420  C02305 -> C00791
M00958,"R00181  C00020 -> C00130 R01126  C00130 -> C00294 R00183  C00020 -> C00212 R01560  C00212 -> C00294 R01863  C00294 -> C00262 R01768,R01769  C00262 -> C00385 R02103,R02107  C00385 -> C00366"
M00868,R00830  C00037 -> C00430 R00036  C00430 -> C00931 R00084  C00931 -> C01024 R03165  C01024 -> C01051 R03197  C01051 -> C03263 R03220  C03263 -> C01079 R03222  C01079 -> C02191 R00310  C02191 -> C00032
M00089,R00851  C00093 -> C00681 R02241  C00681 -> C00416 R02239  C00416 -> C00641 R02251  C00641 -> C00422
M00052,"R00158  C00105 -> C00015 R00156  C00015 -> C00075 R00571,R00573  C00075 -> C00063 R00570  C00063 -> C00112"
M00051,"R00575  C00064 -> C00169 R01397  C00169 -> C00438 R01993  C00438 -> C00337 R01867,R01868,R01869  C00337 -> C00295 R01870  C00295 + C00119 -> C01103 R00965  C01103 -> C00105"
M00855,R02111  C00369 -> C00103 R08639  C00103 -> C00092
M00014,R00286  C00029 -> C00167 R01381  C00167 -> C05385 R01476  C05385 -> C00191 R01383  C00167 -> C03033 R01478  C03033 -> C00191 R01481  C00191 -> C00800 R02640  C00800 -> C00618 R01905  C00618 -> C00312 R01904  C00312 -> C00379 R01896  C00379 -> C00310 R01639  C00310 -> C00231
M00854,R00289  C00103 -> C00029 R00292  C00029 -> C00718 R00948  C00103 -> C00498 R02421  C00498 -> C00718 R02110  C00718 -> C00369
M00632,R10619  C00124 -> C00984 R01092  C00984 -> C00446 R00955  C00446 + C00029 -> C00052 + C00103 R00291 C00052 -> C00029
M00554,R01092 C00984 -> C00446 R00955 C00446 -> C00052
M01000,R00772  C00085 -> C00275 R01818  C00275 -> C00636 R00885  C00636 -> C00096
M01015,R01326  C00159 -> C00275 R01818  C00275 -> C00636 R00885  C00636 -> C00096
M01016,R00888  C00096 -> C01222 R05692  C01222 -> C00325
M01001,R03161  C01019 -> C02985 R01951  C02985 -> C00325
M00005,R01049  C00117 -> C00119
M00048,"R01072  C00119 + C00064 -> C03090 R04144  C03090 -> C03838 R04325,R06974  C03838 -> C04376 R04463  C04376 -> C04640 R04208  C04640 -> C03373 R04209  C03373 -> C04751 R07404  C03373 -> C15667 R07405  C15667 -> C04751 R04591  C04751 -> C04823 R04559  C04823 -> C04677 R04560,R06975  C04677 -> C04734 R01127  C04734 -> C00130"
M00959,"R01227  C00144 -> C00387 R02147  C00387 -> C00242 R01676  C00242 -> C00385 R02103,R02107  C00385 -> C00366"
M00053,R02017 C00008 -> C00206 R01137 C00206 -> C00131 R02019 C00035 -> C00361 R01857 C00361 -> C00286 R02024 C00112 -> C00705 R02326 C00705 -> C00458 R02018 C00015 -> C01346 R02331 C01346 -> C00460
